,gene,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,lengthscale,BIC_periodic,BIC_linear,BIC_rbf,pval,q_value
0,Nrf1,-249.2338202,-249.233818,-2.27E-06,0.000770382,520.7103625,515.149681,520.7103669,1,1
1,Zbtb5,-264.3426344,-264.3930533,0.050418963,0.916293322,551.0287612,545.46808,550.9279953,0.750826398,1
2,Ccnl1,-470.16012,-470.1798011,0.019681177,1.037425378,962.6023286,957.041696,962.5629665,0.842732524,1
3,Lrrfip1,-425.489792,-426.3735562,0.883764197,4.088058341,874.9898375,869.429156,873.2223105,0.183688256,0.860971704
4,Bbs1,-399.6631318,-399.7516118,0.088480081,0.540809274,821.7459513,816.18527,821.5689901,0.67399875,1
5,Lix1,-613.6697085,-615.7138276,2.044119102,1.484279371,1253.670538,1248.1097,1249.582144,0.043182631,0.348155573
6,Whrn,-343.3454629,-344.2797513,0.934288338,1.582508051,710.8022285,705.241547,708.9336523,0.171638184,0.829928985
7,Ate1,-504.4699729,-506.2723227,1.802349834,1.751874363,1034.787388,1029.22669,1031.182672,0.057616475,0.423752709
8,Ubac1,-519.8204675,-519.8977238,0.077256293,0.686505803,1062.038174,1056.47749,1061.883662,0.694259738,1
9,Rab34,-404.3824904,-404.3824862,-4.23E-06,0.009052992,831.0076995,825.447019,831.0077073,1,1
10,Nap1l1,-702.3421869,-707.4985564,5.156369472,1.37898383,1437.239837,1431.67916,1426.9271,0.001321151,0.020906259
11,Srgap3,-646.0024941,-646.2493244,0.246830306,0.000103507,1314.741378,1309.1807,1314.247715,0.482298918,1
12,Slc1a3,-1112.007846,-1123.880253,11.87240721,0.75654058,2270.004086,2264.4434,2246.258419,1.10E-06,4.03E-05
13,Polr3k,-360.3116706,-360.3116681,-2.48E-06,0.000278246,742.8660627,737.305381,742.8660677,1,1
14,Inpp5f,-637.6327455,-638.0671891,0.434443605,5.54E-14,1298.377105,1292.81642,1297.508218,0.35126356,1
15,Ndufaf6,-215.292895,-215.2942818,0.001386767,0.573375847,452.8312934,447.270612,452.8285165,0.957999342,1
16,Atp5j2,-669.2951945,-671.054857,1.759662513,0.829737124,1373.310127,1367.74944,1360.833116,0.060657145,0.438591009
17,Tnpo2,-516.4712306,-516.4714455,0.000214821,1.978776766,1055.185619,1049.62495,1055.185188,0.983462787,1
18,2010300C02Rik,-660.9115239,-683.2271097,22.31558576,1.758090098,1388.696941,1383.13626,1344.065774,2.38E-11,1.87E-09
19,B3gat3,-531.7578095,-534.1835646,2.425755175,3.530708714,1090.609855,1085.04917,1085.758346,0.027621936,0.251030178
20,Commd5,-218.2163325,-219.2351824,1.018849881,2.81050527,460.7130843,455.152402,458.6753915,0.153441524,0.779482943
21,Ints3,-444.466228,-444.4662273,-7.26E-07,0.035573703,911.1751809,905.6145,911.1751825,1,1
22,Rbm6,-426.5618885,-426.5963088,0.034420278,3.88E-06,875.4355814,869.8749,875.3665035,0.793032469,1
23,Rnpepl1,-378.2345046,-378.5063221,0.271817541,0.949704105,779.2553731,773.694689,778.7117357,0.460930123,1
24,Sox2,-596.9755242,-597.003182,0.027657824,0.763836487,1216.249116,1210.68841,1216.193775,0.814059103,1
25,Cbx5,-623.9139956,-626.3536321,2.439636525,0.819000874,1274.949878,1269.38919,1270.070718,0.027181064,0.248085648
26,Poldip3,-477.5766987,-479.0761249,1.499426282,1.822096087,980.3949752,974.834341,977.3961239,0.08332351,0.540420792
27,Mapre1,-610.3572288,-610.445098,0.087869152,2.062393646,1243.132923,1237.57224,1242.957184,0.675061549,1
28,Luc7l3,-642.0676253,-643.1293933,1.061767976,1.120342916,1308.501515,1302.94083,1306.377977,0.145051323,0.754398882
29,Pi4kb,-163.4834228,-163.6085856,0.125162844,0.649225438,349.4598976,343.899216,349.2095721,0.616845844,1
30,Mink1,-513.8693273,-514.0682597,0.198932434,2.060610143,1050.379254,1044.81856,1049.981381,0.528193993,1
31,Resp18,-418.2964574,-418.6468638,0.350406318,1.520171641,859.5364509,853.975769,858.8356413,0.402510771,1
32,Rnf10,-567.2952017,-567.3667019,0.071500235,3.391161163,1156.976137,1151.41546,1156.83313,0.705316173,1
33,Eef1a1,-1090.546884,-1116.379641,25.83275745,1.038232592,2255.002339,2249.44175,2203.336495,6.58E-13,6.04E-11
34,Mdfic,-152.485287,-152.5791329,0.093845986,1.22626181,327.4009928,321.840311,327.2133005,0.664844552,1
35,Rhbdf1,-315.3813364,-319.1204833,3.739146932,2.254399027,660.4836941,654.92306,653.0053993,0.006244722,0.078836296
36,Zfp605,-42.71313789,-42.71313728,-6.12E-07,0.542744257,107.6690011,102.108319,107.6690023,1,1
37,Zbtb14,-298.5445549,-298.6356134,0.091058437,0.962988975,619.5139537,613.953272,619.3318363,0.669560309,1
38,Sh3gl2,-787.2966485,-815.2191842,27.92253574,2.324896155,1652.680563,1638.32508,1596.836024,7.84E-14,7.92E-12
39,Fam213a,-734.5823312,-747.4390494,12.85671815,1.665426763,1517.120843,1511.56014,1491.407389,3.96E-07,1.61E-05
40,Dbn1,-636.3190913,-643.4401739,7.121082529,2.411925596,1309.123256,1303.56239,1294.880909,0.000160729,0.003591376
41,Cldn5,-561.3798271,-603.0945628,41.71473569,1.755325769,1228.431861,1222.87125,1145.002381,0,0
42,Fam193b,-409.9151498,-409.915147,-2.81E-06,0.010289053,842.0730202,836.512341,842.0730261,1,1
43,Grik5,-676.2312021,-680.0048439,3.773641782,2.014785619,1382.252414,1376.69183,1374.705131,0.006010061,0.076339361
44,Pip5k1a,-124.6665618,-124.7298751,0.063313319,3.179262251,271.7024754,266.141796,271.5758501,0.721955622,1
45,Sh3bgrl,-713.980348,-714.0897988,0.109450808,1.680598631,1450.422331,1444.86164,1450.203423,0.639878109,1
46,Cwc25,-229.7703175,-229.9556255,0.185308027,0.79065552,482.1539776,476.593297,481.7833615,0.542668657,1
47,Camkk1,-507.9465842,-507.9575247,0.010940504,1.396423381,1038.157777,1032.5971,1038.135895,0.882404086,1
48,Chn2,-603.3326819,-604.5833323,1.250650433,1.523922027,1231.409387,1225.84871,1228.90809,0.113752303,0.65200806
49,Dhh,-103.1488757,-104.5628357,1.413960003,2.406496311,231.3683977,225.807715,228.5404779,0.09263827,0.57691201
50,Map3k11,-264.2424583,-264.4342465,0.191788162,1.789882876,551.1112189,545.550537,550.7276431,0.535695436,1
51,Zmynd11,-685.7927354,-687.3107677,1.518032337,3.420400546,1396.864081,1391.3034,1393.828197,0.081433111,0.533597128
52,Snx13,-555.5675069,-556.5911382,1.023631293,1.405280354,1135.425148,1129.86446,1133.37774,0.152480135,0.777256374
53,Ptbp3,-439.1548094,-439.1727187,0.017909287,0.495911742,900.5881843,895.027503,900.5523453,0.849890646,1
54,Secisbp2l,-623.4279183,-624.2974905,0.869572194,0.754497804,1270.8377,1265.27701,1269.098563,0.187247275,0.869199393
55,Fyco1,-516.3793488,-537.1049021,20.72555329,1.846738781,1096.452539,1090.8918,1055.001424,1.21E-10,8.59E-09
56,Cox5b,-712.1552154,-720.6927035,8.537488106,2.742938539,1453.822251,1448.26157,1446.553157,3.59E-05,0.000965503
57,Rnf181,-496.0691204,-496.8774058,0.808285421,1.149360117,1015.997564,1010.43687,1014.380967,0.203570598,0.908365022
58,Cyfip2,-710.9669294,-710.9668869,-4.25E-05,0.037774768,1444.176501,1438.61585,1444.176585,1,1
59,Sptssa,-515.0303255,-518.2313117,3.200986182,2.206846637,1058.70535,1053.14467,1052.303378,0.011399365,0.126783808
60,Pmepa1,-662.0731761,-698.336691,36.26351494,1.422767778,1418.915861,1413.35531,1346.389079,0,0
61,Pde4dip,-612.2377017,-612.3397608,0.102059115,1.697973708,1246.922148,1241.36147,1246.71813,0.651417064,1
62,Rhbdd3,-268.6447004,-268.9300136,0.285313198,0.91185148,560.1027489,554.542067,559.5321273,0.450010111,1
63,Oxct1,-814.4972711,-819.9286282,5.431357104,1.882959323,1662.099985,1656.5393,1651.237269,0.000981198,0.016511459
64,Huwe1,-634.8189343,-634.8189328,-1.45E-06,0.012097833,1291.880595,1286.31992,1291.880595,1,1
65,Tcaim,-251.2861631,-251.2861615,-1.58E-06,1.51E-06,524.81505,519.254368,524.8150527,1,1
66,Med13,-613.2325556,-613.2325501,-5.40E-06,2.69E-05,1248.707826,1243.14715,1248.707838,1,1
67,Nlk,-539.9412433,-541.5915286,1.6502853,1.118100463,1105.425805,1099.86512,1102.125213,0.069255822,0.482001058
68,Atm,-321.2779504,-321.6598894,0.381939064,0.845194995,665.5625096,660.001828,664.7986273,0.382117591,1
69,Sptan1,-782.0689506,-783.6124986,1.543548055,3.27573874,1589.467724,1583.90704,1586.380628,0.078915524,0.52301774
70,Zcchc11,-427.9447097,-427.9447074,-2.31E-06,1.350373774,878.1321413,872.57146,878.1321459,1,1
71,Etv3,-370.1910177,-371.765495,1.574477339,2.287319822,765.7737173,760.213037,762.6247619,0.075975619,0.510824312
72,Tspan2,-546.9296998,-549.4018591,2.472159352,0.497406529,1121.046444,1115.48576,1116.102126,0.026176554,0.241438491
73,Fam160a2,-432.6040909,-433.3799893,0.775898419,2.008816404,889.0027041,883.442029,887.4509083,0.212870375,0.929161513
74,Zfyve20,-409.8828083,-409.8828077,-6.35E-07,0.217209625,842.0083412,836.447694,842.0083431,1,1
75,Ctr9,-393.4017257,-393.7967118,0.394986137,1.542294419,809.8361903,804.275466,809.0461779,0.374108509,1
76,Cers5,-485.876772,-485.8771364,0.000364365,0.668116683,993.996999,988.436319,993.9962705,0.978463722,1
77,Scly,-270.4276512,-270.4276503,-8.57E-07,0.069740493,563.0980278,557.537345,563.0980289,1,1
78,Fndc4,-542.5653002,-542.5653254,2.52E-05,0.000217261,1107.373387,1101.8127,1107.373327,0.994335629,1
79,Kif1b,-749.7028254,-755.1169947,5.414169328,1.120218487,1532.476717,1526.91605,1521.648377,0.000999583,0.016782827
80,Polr2l,-506.0700942,-506.0846494,0.014555217,0.643060314,1034.412033,1028.85135,1034.382915,0.8645243,1
81,Vcpip1,-440.0772156,-440.0938533,0.0166377,0.613659497,902.4304392,896.869749,902.3971577,0.855256694,1
82,Pcp4,-1026.571847,-1102.358218,75.78637037,1.307290257,2226.960416,2221.39992,2075.386421,0,0
83,Gnb2,-690.0872005,-700.9010091,10.81380857,1.443049222,1424.044751,1418.48407,1402.417128,3.31E-06,0.000107875
84,Rapgef3,-366.6218766,-368.3281524,1.706275768,0.950511661,758.899026,753.338385,755.4864797,0.06470233,0.457885715
