,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC212.11,-113.28242024327228,-64.20383675302881,-49.33184365576246,-0.253260165518995
SPAC212.09c,-161.6273126734181,-85.37973726182541,-78.30715085769762,-2.0595754461049296
SPAC212.04c,-164.69891059557943,-72.18915265620052,-84.85014379471498,7.659614144663919
SPAC212.01c,-52.19430866889818,-21.41246796707356,-30.56841545910121,0.21342524272341026
SPNCRNA.601,-115.76727887867372,-59.60332440627789,-58.77100776538347,-2.6070532929876578
SPAC977.11,-166.31337339682662,-82.45634474527921,-87.26371376436667,-3.4066851128192184
SPAC977.13c,-147.10629988820475,-81.77125129391938,-76.11864292118175,-10.783594326896377
SPAC977.15,-154.21398525692115,-83.22617473971577,-71.3075693919445,-0.319758874739108
SPAC977.16c,-173.33471745545936,-90.44846720035237,-87.6760746197273,-4.7898243646203005
SPNCRNA.76,-78.93740932675718,-35.966120732056,-43.2942290365204,-0.3229404418192132
SPNCRNA.603,-44.852766721222885,-18.266118202165305,-26.64142299632616,-0.0547744772685661
SPNCRNA.607,-175.68155796425617,-93.34299777390844,-90.22715552371157,-7.88859533336381
SPAC1F8.06,-182.65632778404742,-93.49902155343523,-91.41002627407379,-2.252720043461608
SPAC1F8.08,-165.8729463153381,-86.415010929046,-82.01080851563954,-2.5528731293474043
SPAC11D3.19,-133.6882747719543,-69.1917180800468,-72.71494806927114,-8.218391377363616
SPAC11D3.01c,-229.36532746371708,-119.66009029312204,-103.83000673342552,5.875230437169535
SPNCRNA.608,-165.9655227802449,-89.32994460021497,-74.84331171630987,1.7922664637200685
SPAC11D3.02c,-242.6276701960528,-119.4247414556149,-124.12091505223664,-0.9179863117987566
SPAC11D3.03c,-145.60117477049968,-77.104258395777,-68.68762712897065,-0.19071075424798775
SPAC11D3.05,-240.84848169182263,-121.2754130107283,-124.38268172738742,-4.809613046293066
SPAC11D3.07c,-224.24134486653247,-114.07404409685977,-114.78568808306795,-4.61838731339526
SPAC11D3.08c,-221.36230882289462,-114.46702214843036,-111.18891991152466,-4.293633237060419
SPAC11D3.11c,-183.34360164172614,-95.57650160067351,-91.98938148600168,-4.2222814449490045
SPAC11D3.14c,-179.1562657655216,-91.39432714975227,-91.25077770808998,-3.4888390923206885
SPNCRNA.609,-191.33898462829612,-98.92360115560324,-95.22778157315695,-2.812398100464037
SPNCRNA.610,-65.75125919596526,-31.647357825499874,-31.218922098556746,2.884979271908648
SPAC11D3.16c,-201.7887921410361,-102.97963221616516,-102.65203205515488,-3.842872130283922
SPAC11D3.18c,-147.9395721154599,-75.8472943145465,-73.70078376106258,-1.6085059601491878
SPNCRNA.612,-162.04123960568438,-86.98190991488426,-75.19378078113607,-0.1344510903359435
SPAC5H10.01,-135.36369218399142,-70.44434381222416,-68.65944779511855,-3.740099423351325
SPAC5H10.03,-283.10196037189235,-140.48192899831406,-147.51928349443978,-4.8992521208614335
SPAC5H10.04,-160.68391676139726,-85.25017709640717,-79.35979941822417,-3.926059753234085
SPAC5H10.06c,-226.03638849561383,-111.60424518202478,-116.09564400958205,-1.663500695993008
SPAC5H10.08c,-209.58606425538483,-137.34100179673428,-101.61482023965485,-29.369757781004324
SPAC5H10.09c,-164.15508200347324,-83.0487348793532,-83.51136349447559,-2.405016370355554
SPAC5H10.10,-210.02787813061343,-106.22280415592527,-111.40069930121392,-7.595625326525719
SPAC5H10.11,-114.88061986729973,-60.5108990455553,-59.15591817670703,-4.786197354962597
SPAC5H10.12c,-217.4330977365584,-111.08357582630659,-111.11832618880129,-4.768804278549453
SPAC5H10.13c,-234.6942292060955,-118.60752253836394,-120.25309808289036,-4.166391415158756
SPNCRNA.617,-143.1761895084426,-77.0114766362622,-67.47139731058947,-1.3066844384090928
SPAC13G6.01c,-249.5150738107943,-129.11088310505508,-125.50240526202776,-5.098214556288582
SPAC13G6.03,-224.07304264139046,-115.32071362600243,-113.39704700697935,-4.644717991591307
SPNCRNA.618,-124.9813951736826,-64.51330027893447,-59.259076044324786,1.209018850423348
SPNCRNA.620,-71.41494725776326,-39.86227838284453,-31.81196417056081,-0.25929529564207604
SPAC13G6.14,-214.0819711302104,-109.62054472845809,-109.93100623622604,-5.469579834473734
SPAC13G6.15c,-192.41721171321254,-98.20854403591001,-95.19205448520613,-0.9833868079035994
SPNCRNA.621,-149.8516203639483,-77.44170489013484,-76.05057586676106,-3.6406603929476087
SPAC24B11.05,-223.57401961021287,-115.30742939538695,-113.579531563642,-5.3129413488161115
SPAC24B11.08c,-185.2266087849517,-95.23437176225694,-92.88943325109108,-2.8971962283962966
SPAC24B11.09,-202.1425562617297,-104.78223124617556,-100.72585344003606,-3.3655284244819086
SPAC24B11.11c,-220.89013920424736,-115.36232225286652,-113.46224629167124,-7.934429340290421
SPAC24B11.12c,-282.8122046888905,-144.73692176574482,-144.11801487448793,-6.0427319513422635
SPNCRNA.624,-165.19730253064492,-86.36078936234743,-80.5815351490149,-1.7450219807173823
SPAC806.02c,-234.07077547882335,-121.25053549892971,-118.14065193858671,-5.320411958693028
SPNCRNA.625,-129.06910818237628,-67.28568521221379,-63.720466138537255,-1.9370431683747429
SPAC806.11,-74.99780850994598,-38.25824318685336,-36.730142495108375,0.009422827984238323
SPNCRNA.626,-159.79542353378366,-82.51307774065286,-80.29181538862578,-3.009469595494977
SPNCRNA.627,-82.27283752182556,-37.91255879287072,-43.24161906774143,1.118659661213414
SPNCRNA.628,-69.49838100589169,-26.105540704106428,-40.662296023149146,2.730544278636117
SPAC806.06c,-209.7681747624722,-102.91948340081198,-109.55648108210168,-2.7077897204414683
SPAC806.07,-232.63012885435944,-124.93412549554894,-115.43955746031551,-7.743554101505027
SPNCRNA.630,-138.35459958197896,-71.97790360911718,-72.37539556173633,-5.998699588874558
SPAC1F5.11c,-261.34046943416354,-135.48374194071988,-131.05976591102984,-5.2030384175861855
SPNCRNA.632,-56.4004395968537,-25.560516681153256,-30.304242001010532,0.5356809146899124
SPNCRNA.633,-105.5734473526264,-54.71310775285902,-52.57355288048673,-1.7132132807193583
SPAC1F5.07c,-207.5229630666172,-104.91038161364328,-105.2207852989103,-2.6082038459363446
SPAC1F5.04c,-232.19045309984327,-121.53280081140737,-114.40393150694881,-3.7462792185129667
SPAC1F5.02,-289.2748660628511,-149.77989452238555,-145.13278066032947,-5.637809119863903
SPAC18B11.10,-226.38381394063674,-116.23908143892271,-115.26080590848835,-5.116073406774291
SPNCRNA.635,-67.48497173750616,-34.59980595154744,-33.62818278873182,-0.7430170027731009
SPAC18B11.09c,-192.05135163017098,-99.60423774017664,-96.47044605900028,-4.023332169005954
SPAC18B11.08c,-187.1046932205976,-98.0527419703845,-95.82339187283938,-6.771440622626272
SPAC18B11.07c,-189.8510852261024,-99.83485093977396,-94.02896400544205,-4.012729719113622
SPAC18B11.04,-184.0710574396532,-97.6634822892138,-94.37042906396843,-7.962853913529044
SPNCRNA.636,-177.96702669197515,-89.491209967884,-92.1852784585329,-3.709461734441789
SPAC18B11.02c,-221.8891575889801,-117.75038783908268,-112.0430106398693,-7.904240889971902
SPAC12G12.15,-178.97714488525642,-94.67287626341728,-85.45242891179046,-1.1481602899513632
SPNCRNA.637,-120.35584745540504,-61.52559109696014,-61.29578728916373,-2.465530930718799
SPAC12G12.14c,-180.48917732767532,-89.2086019079123,-94.94269917954044,-3.6621237597773866
SPNCRNA.638,-40.589638164038455,-20.286894188358072,-18.997625248977066,1.3051187267033129
SPAC12G12.10,-214.20100552720643,-109.78311282519743,-110.58446945992716,-6.166576757918192
SPAC12G12.09,-219.8252199119472,-113.47158830634524,-111.812638693534,-5.4590070879320365
SPAC12G12.06c,-247.92226836115776,-126.39032208395734,-126.48598348357044,-4.954037206370033
SPAC12G12.03,-219.6602917746981,-113.31557207181736,-112.06695551926224,-5.722235816381557
SPAC630.05,-228.5250000058104,-119.12111614897907,-114.56468435242935,-5.160800495598039
SPAC630.15,-155.24871410868843,-78.58296727961412,-80.33356208335381,-3.6678152542795033
SPATRNAPRO.01,-222.57476298468015,-107.59827404472107,-116.85749338646515,-1.88100444650604
SPAC630.11,-205.2564262604421,-105.08794812616007,-103.34899216735727,-3.1805140330752124
SPAC630.12,-196.82769406176362,-97.718829662181,-102.7213265813472,-3.612462181764556
SPAC630.13c,-229.40573406303074,-117.47554808642063,-117.64418587044932,-5.7139998938392305
SPAC630.14c,-224.08691188847115,-116.06104418611643,-112.91087464353286,-4.885006941178119
SPAC1751.01c,-181.93384439144558,-93.64808969116598,-92.27442880445273,-3.9886741041731
SPAC1751.04,-193.96847028460368,-100.03027361386793,-98.57073106228135,-4.632534391545589
SPAC1751.02c,-203.59188773947926,-105.96788007437759,-101.64922112590193,-4.025213460800302
SPAC31A2.02,-219.17092703406053,-112.0356445413115,-111.79311685123558,-4.657834358486525
SPNCRNA.643,-105.49143726413338,-56.06096133052357,-50.90536448427631,-1.474888550666506
SPAC31A2.03,-205.25878191831757,-106.08402689511,-136.13464476875623,-36.95988974554868
SPAC31A2.04c,-228.7165156710629,-117.08739989952733,-117.9571517152307,-6.3280359436950855
SPAC31A2.06,-206.13519668130584,-107.64779360407782,-140.50544093819,-42.018037860961954
SPAC31A2.07c,-252.84264250414765,-130.32854110526844,-127.689316532753,-5.175215133873792
SPAC31A2.09c,-193.25254244913143,-113.61022722117954,-98.76314856726377,-19.120833339311897
SPAC31A2.11c,-199.51911671388225,-101.35262012212314,-102.64863135628677,-4.4821347645277
SPAC31A2.12,-247.80621589680885,-125.89864702306774,-126.63821908011191,-4.730650206370798
SPAC31A2.13c,-179.80073892075137,-95.74259639694792,-84.89039177720551,-0.8322492534020682
SPAC31A2.14,-206.22927657115883,-104.89445520047704,-106.08243947763714,-4.747618106955372
SPAC31A2.16,-225.01368677123844,-114.01652929796373,-115.81479352905123,-4.817636055776519
SPAC13C5.01c,-231.05058833980172,-128.4738355758528,-127.81942925813931,-25.242676494190363
SPNCRNA.644,-93.62051261909198,-45.92206902847018,-46.53305335128535,1.165390239336446
SPAC13C5.04,-241.01504390474875,-128.14620691026056,-137.61909920201424,-24.75026220752605
SPNCRNA.645,-153.24335117917306,-79.2947196173294,-77.87857589593881,-3.9299443340951536
SPAC13C5.05c,-195.01645982015685,-105.4061473729378,-100.35684943597744,-10.74653698875841
SPAC13C5.06c,-202.68377862337502,-104.95534462407132,-101.99889573640249,-4.2704617370987705
SPATRNAVAL.01,-330.3685298075842,-163.35922392553283,-169.20714908103574,-2.1978431989844007
SPAC23E2.02,-206.30350918160786,-106.94497260455245,-105.14260386025349,-5.784067283198084
SPRRNA.11,-300.18430437895506,-154.759468382554,-149.91368200397443,-4.488846007573329
SPAC24H6.12c,-237.39590798226382,-121.19486823692266,-120.63335873720017,-4.4323189918589785
SPAC24H6.11c,-226.4163078796373,-116.989349580954,-113.18481981790244,-3.757861519219176
SPNCRNA.652,-160.5803450442229,-80.02555684554251,-84.08978732763867,-3.5349991289582765
SPAC24H6.09,-235.004001612393,-145.4795160806916,-154.22017254455838,-64.69568701285701
SPAC24H6.07,-318.38107333550204,-159.36018899130292,-163.99571560283374,-4.974831258634595
SPAC24H6.06,-205.521926789739,-105.48555143996256,-104.09479814718792,-4.0584227974114535
SPAC24H6.04,-281.06868869219073,-187.14424174318768,-190.18833280341823,-96.26388585441521
SPNCRNA.653,-70.39989897367964,-33.133049038589725,-34.518990367838576,2.747859567251325
SPAC24H6.02c,-172.71851593751944,-90.20449119131298,-86.92976518994381,-4.415740443737349
SPNCRNA.654,-85.44675788978864,-42.689862900343535,-40.97990243164659,1.7769925577985075
SPAC24H6.01c,-184.5094604036713,-92.83796413523136,-93.02058775963437,-1.349091491194372
SPAC227.19c,-149.49880316549226,-77.17733463631605,-75.49665294834972,-3.1751844191735183
SPNCRNA.655,-172.1842499770609,-87.99479987321561,-88.37782750593445,-4.188377402089202
SPAC227.05,-201.7762212420354,-103.44799217506845,-102.64588148201193,-4.317652415044989
SPAC227.06,-196.87610777364705,-101.23247012058007,-100.74884081362354,-5.105203160556584
SPAC227.07c,-229.4284577449248,-119.70286705301865,-114.85638622408264,-5.130795532176479
SPNCRNA.657,-175.49346968761205,-98.93270678975405,-95.06129740781721,-18.500534509959238
SPAC227.08c,-174.34621454677006,-87.43254093792132,-86.46502762236167,0.4486459864870653
SPAC227.09,-183.67379118928693,-96.56005559854124,-89.45653725325731,-2.3428016625116754
SPAC227.10,-202.01122997652996,-105.62717322154116,-135.2337983127033,-38.84974155771457
SPAC227.11c,-176.7413408441159,-92.1335975037496,-89.23806688169479,-4.630323541328494
SPAC227.12,-199.76542515027825,-104.34129746187222,-101.18979349712386,-5.765665808717812
SPAC227.13c,-245.87937967451182,-125.55077548376215,-124.76349324033436,-4.434889049584684
SPAC227.16c,-173.58089966474893,-92.14023025707266,-84.11467399676016,-2.674004589083921
SPAC2F7.04,-197.9192470420568,-102.29509897878935,-100.74093962359609,-5.116791560328664
SPNCRNA.660,-115.81011272223984,-57.196520983610704,-61.176992282758896,-2.563400544129763
SPNCRNA.661,-136.49935925085003,-69.51119167641892,-68.83696121459369,-1.8487936401625689
SPAC2F7.13c,-255.95796929942506,-130.01149682508603,-131.92205117959023,-5.975578705251196
SPAC2F7.15,-192.8929433640067,-100.66451538815592,-137.49003448811095,-45.26160651226019
SPAC13A11.01c,-216.80075333103431,-111.95677866541128,-110.02287407655264,-5.17889941092966
SPAC13A11.03,-272.8526318936723,-137.5622094191957,-138.6532301270273,-3.362807652550714
SPAC13A11.04c,-199.9397471676863,-101.5420435186153,-102.4311356514766,-4.03343200240559
SPAC13A11.05,-246.0931310046029,-125.67670162731042,-126.16092380763634,-5.744494430343848
SPAC3H8.02,-221.2969475781976,-114.91666700814308,-111.00610945027435,-4.625828880219841
SPAC3H8.03,-170.50727201514243,-87.00962719660113,-87.53553768975229,-4.0378928712110005
SPNCRNA.663,-128.96848690269428,-70.23502893831622,-55.77025393014996,2.9632040342280845
SPAC3H8.04,-233.98987845572213,-119.43964650400179,-119.87278260565212,-5.322550653931785
SPNCRNA.156,-42.85226952920432,-14.985382478358073,-25.424774011529447,2.4421130393167942
SPAC3H8.08c,-205.52404236116402,-104.57138249298195,-104.25195142468195,-3.2992915564999516
SPNCRNA.667,-128.7244132853424,-69.58340748616331,-60.10953638669344,-0.9685305875143512
SPAC3H8.10,-234.63889533770268,-121.33799427906891,-118.84526820635678,-5.544367147722937
SPAC1F3.01,-237.3955822583896,-120.99281615432963,-121.70834994096994,-5.305583836910016
SPAC1F3.02c,-228.9380221862833,-118.74351939415094,-113.99325472855551,-3.798751936423145
SPAC1F3.03,-210.8961994311419,-110.75274553856208,-101.6448856395383,-1.5014317469585308
SPAC1F3.04c,-202.06949917603995,-106.20031260494152,-98.8665173944372,-2.9973308233387854
SPAC1F3.05,-203.231218487167,-105.59074479734757,-100.79005690304614,-3.149583213226663
SPAC1F3.06c,-270.6753586831232,-135.55255276440107,-140.09456472471385,-4.971758805991726
SPAC1D4.01,-162.6674927881837,-80.00548394887369,-86.92530207173283,-4.263293232422825
